KandM1,KandM2,KandM3,co2_values
0.8975978,0.895686062,0.890259214,8.91013047
0.813643586,0.813446664,0.812819631,7.964915975
0.915899524,0.915199734,0.913550746,8.12077226
0.957787149,0.956816817,0.954402479,8.064679024
0.956566145,0.954974577,0.950529216,7.448377853
0.89278426,0.891048301,0.886182206,8.291668394
0.953850672,0.952964767,0.950804733,5.984948423
0.862985658,0.858318953,0.843057261,6.247665837
0.832955859,0.827993449,0.811586986,3.794081373
0.886892635,0.886831565,0.886711218,2.10966497
0.983679474,0.983419923,0.982873462,0.121960394
0.877449206,0.877377802,0.877230104,2.89672482
0.962453473,0.96245228,0.96245041,0.145777639
0.956445916,0.955675189,0.953852916,0.394603384
0.97010018,0.969181384,0.966954404,0.155260132
0.972198797,0.970915922,0.967318804,0.344708341
0.910571772,0.909126013,0.905244064,0.624876213
0.672373572,0.672743919,0.673381332,2.582184791
0.643812336,0.643621094,0.641432283,3.632379851
0.717588485,0.717846353,0.718286155,9.025641097
0.888757355,0.887514227,0.884196087,7.01036963
0.790491935,0.786422139,0.77274909,7.072168769
0.824634274,0.822708197,0.816731256,9.02441965
0.841651983,0.840973866,0.839106071,9.008542723
0.884170951,0.881556589,0.873679754,10.21705763
0.901298473,0.899672588,0.895197501,8.680911844
0.844705932,0.842343248,0.835073281,8.982251323
0.815921836,0.813984881,0.807886743,7.233385721
0.822235263,0.818438921,0.806020806,7.203375098
0.752758751,0.748836215,0.735230148,6.907372281
0.793263165,0.789466554,0.776761532,5.621763015
0.75139709,0.744435304,0.720633368,5.12591488
0.653031316,0.642178492,0.605131721,3.461812519
0.952619617,0.950158827,0.94225632,0.115813636
0.910760734,0.909990526,0.908188715,0.177784568
0.927785285,0.924867904,0.91582947,0.577588195
0.966381125,0.965597853,0.96370533,0.04777097
0.977403061,0.977043486,0.976270395,0.090747319
0.986440961,0.98618263,0.985637924,0.206077219
0.973093369,0.972951011,0.972680818,0.126682928
0.933717247,0.930947449,0.922475708,0.566990753
0.576010015,0.577726747,0.580021596,0.8750513
0.945184327,0.9435399,0.938993356,4.106823808
0.762518361,0.75623198,0.734775542,4.336115602
0.607480918,0.598502977,0.567047933,6.361946509
0.733398368,0.728202341,0.710077744,7.307681571
0.841107232,0.838335983,0.829635958,8.580904073
0.90559348,0.903505759,0.897510288,10.5585125
0.954108656,0.952903506,0.949762599,9.38115691
0.543936154,0.544702315,0.546045118,8.167909012
0.863393791,0.86162995,0.85650796,9.774648271
0.882272032,0.881126165,0.87807637,7.730494193
0.86122545,0.859484312,0.854422083,7.419917044
0.882217369,0.880836071,0.877057025,6.395455389
0.881120852,0.878624303,0.871141852,5.883614539
0.785954351,0.780577326,0.762395308,4.386629973
0.917984283,0.916696462,0.91333607,3.416791162
0.990524661,0.990441562,0.99028495,0.060151588
0.958940861,0.958921012,0.95888799,0.206308558
0.658424933,0.653237664,0.642652618,0.081670116
0.986030626,0.985173345,0.982730735,0.239207762
0.886887555,0.881362013,0.86288517,0.37176781
0.976577676,0.976555657,0.976519129,0.133049647
0.977643049,0.976673625,0.974075336,0.070679472
0.849600507,0.844418383,0.827275462,0.050619582
0.754867369,0.746948313,0.719950333,4.165006401
0.694102379,0.685757277,0.656981645,5.526799421
0.779321311,0.773378168,0.753219269,7.560106013
0.825806914,0.822063763,0.809861707,8.272025033
0.828482737,0.825654469,0.816645628,8.378399692
0.828419011,0.8277563,0.825854527,8.808987808
0.839000806,0.836591773,0.829115292,9.210812117
0.851313405,0.849269102,0.843128099,9.014421962
0.865543424,0.862038015,0.8509438,10.37476012
0.733690095,0.732100007,0.726207603,8.252679227
0.841518963,0.838350084,0.828276873,9.157231537
0.850746617,0.846654809,0.833410998,7.018433795
0.815456035,0.810680773,0.794811512,6.744684891
0.743382723,0.736274979,0.711925208,4.999996755
0.68923601,0.679371287,0.645637182,3.616641663
0.969122004,0.969096653,0.969053193,0.03166635
0.979883777,0.979701943,0.979344263,0.079590182
0.774069253,0.773475083,0.771410668,0.807800476
0.766059039,0.765924636,0.7651802,4.291135407
