Dist,fluxKandM1,fluxKandM2,fluxKandM3,,,
183,0.001002375,0.001017418,0.001094981,,,
184,0.00099202,0.00100698,0.00108401,,,
185,0.00098182,0.000996697,0.001073198,,,
186,0.00097177,0.000986564,0.001062542,,,
187,0.000961869,0.000976581,0.001052039,,,
188,0.000952113,0.000966743,0.001041687,,,
189,0.000942499,0.000957048,0.001031481,,,
190,0.000933025,0.000947493,0.001021421,,,
191,0.000923689,0.000938077,0.001011502,,,
192,0.000914487,0.000928795,0.001001723,,,
193,0.000905417,0.000919645,0.000992081,,,
194,0.000896477,0.000910626,0.000982573,,,
195,0.000887664,0.000901735,0.000973197,,,
196,0.000878976,0.000892969,0.000963951,,,
197,0.000870411,0.000884325,0.000954831,,,
198,0.000861965,0.000875803,0.000945837,,,
199,0.000853638,0.000867399,0.000936966,,,
200,0.000845428,0.000859112,0.000928215,,,
201,0.00083733,0.000850939,0.000919582,,,
202,0.000829345,0.000842879,0.000911066,,,
203,0.00082147,0.000834928,0.000902664,,,
204,0.000813702,0.000827087,0.000894375,,,
205,0.000806041,0.000819351,0.000886195,,,
206,0.000798483,0.00081172,0.000878125,,,
207,0.000791028,0.000804192,0.00087016,,,
208,0.000783673,0.000796764,0.000862301,,,
209,0.000776417,0.000789436,0.000854544,,,
210,0.000769258,0.000782205,0.000846889,,,
211,0.000762194,0.00077507,0.000839333,,,
212,0.000755224,0.000768029,0.000831874,,,
213,0.000748346,0.000761081,0.000824512,,,
214,0.000741558,0.000754223,0.000817245,,,
215,0.000734859,0.000747455,0.00081007,,,
216,0.000728247,0.000740775,0.000802987,,,
217,0.000721721,0.000734181,0.000795993,,,
218,0.00071528,0.000727671,0.000789088,,,
219,0.000708922,0.000721246,0.00078227,,,
220,0.000702645,0.000714902,0.000775538,,,
221,0.000696449,0.000708639,0.000768889,,,
222,0.000690331,0.000702455,0.000762323,,,
223,0.000684292,0.00069635,0.000755839,,,
224,0.000678328,0.000690321,0.000749435,,,
225,0.00067244,0.000684368,0.000743109,,,
226,0.000666625,0.000678489,0.000736861,,,
227,0.000660883,0.000672683,0.000730689,,,
228,0.000655213,0.000666949,0.000724592,,,
229,0.000649612,0.000661286,0.000718569,,,
230,0.000644081,0.000655692,0.000712619,,,
231,0.000638618,0.000650167,0.000706741,,,
232,0.000633222,0.00064471,0.000700933,,,
233,0.000627892,0.000639318,0.000695194,,,
234,0.000622627,0.000633992,0.000689523,,,
235,0.000617425,0.00062873,0.00068392,,,
236,0.000612287,0.000623531,0.000678382,,,
237,0.00060721,0.000618395,0.00067291,,,
238,0.000602194,0.00061332,0.000667502,,,
239,0.000597238,0.000608305,0.000662158,,,
240,0.000592341,0.000603349,0.000656875,,,
241,0.000587502,0.000598452,0.000651653,,,
242,0.00058272,0.000593613,0.000646492,,,
243,0.000577994,0.00058883,0.000641391,,,
